City,Cloudy,Humidity,Latitude,Temperature,Wind Speed
South Eleuthera District,56,100,24.01,297.075,6.71
Bernardswiller,90,86,48.44,274.66,1.0
Xiwanzi,0,51,41.26,267.725,3.01
Qila Abdullah,0,62,30.42,287.025,5.41
Lubnishche,90,92,53.89,262.15,1.0
Stanley,32,98,-51.22,281.425,8.71
Pickle Lake,0,59,52.27,248.45,1.76
Manicore,100,99,-6.52,295.125,1.16
France,32,99,4.25,301.7,4.76
Sao Paulo de Olivenca,76,97,-3.47,295.225,0.96
Novyye Plity,48,74,53.45,261.325,2.41
Assumption,1,76,39.46,265.98,4.1
Kuujjuaq,88,80,57.04,257.45,1.36
Moonford,20,55,-24.8,298.7,2.76
Jovellar,76,100,6.58,300.175,7.71
Canalete,68,94,8.59,296.05,2.46
Santyoku,0,100,37.66,281.425,10.86
Sarykemer,8,89,43.38,276.975,3.21
Norman Wells,5,64,65.6,230.15,1.0
Komsomolskiy,48,100,44.14,270.625,8.36
Kropotkin,80,60,58.68,263.55,3.01
Magdalena,92,97,-27.31,294.875,3.81
Chalingo,68,100,21.12,289.625,0.51
Oued Ed-Dahab-Lagouira,0,48,22.98,280.975,1.31
Ackergill,40,93,58.65,282.15,8.2
Mai-ti,0,45,12.87,301.375,1.81
Valangaiman,0,45,10.84,304.325,5.11
Sachs Harbour,48,81,72.1,245.35,2.71
Cassville,1,73,36.67,270.31,1.76
Sao Domingos do Maranhao,88,97,-5.39,294.175,1.16
Bargaal,48,68,10.62,300.025,4.76
Repulse Bay,12,48,65.8,239.3,2.71
Luring,0,79,31.51,261.175,3.56
Grishko,56,58,59.03,256.1,1.16
Kelyun’ya,76,77,69.29,255.375,11.26
Edgeroi,20,37,-30.1,303.15,6.7
Aktogay,64,94,47.89,267.675,2.11
Ulysses,1,82,37.48,274.22,3.1
El Calafate,0,71,-50.02,271.45,1.51
Republic,90,100,48.47,273.75,2.6
Cajamarca,8,91,-7.38,279.2,0.31
Mburukullu,8,100,-10.47,302.35,1.81
Yuanling,92,97,28.58,273.95,1.16
Al Wakrah,0,100,25.47,294.6,11.41
Pink Mountain,76,72,57.17,252.275,1.16
Conceição do Pará,0,92,-19.76,291.425,2.56
Norilsk,36,51,69.23,237.975,1.41
Papetoai,88,100,-17.32,299.45,1.61
Northern Territory,0,6,-19.96,314.15,5.7
Jowkān,0,75,33.64,274.6,4.06
Obock,40,70,11.81,303.15,3.1
Bordj Mokhtar,0,24,21.93,285.1,2.06
Mussoorie,56,68,30.54,285.375,0.96
Hall Beach,1,73,68.43,239.15,6.2
Ghelar,88,87,45.73,270.3,0.71
Rose Creek,90,85,40.92,274.25,1.11
Vostok,56,100,48.19,267.225,10.96
J. M. Péres,76,77,-18.59,293.45,2.66
Edefors,40,92,66.65,267.15,2.1
Sao Jose da Coroa Grande,92,100,-9.39,298.925,6.01
Dalain Hob,0,44,41.75,267.625,1.61
Vuktyl,8,84,63.67,244.55,1.21
Sua,0,78,-20.03,303.85,3.31
Shardara,36,100,41.61,280.075,3.21
Xuddur,0,38,4.03,302.85,6.01
Recreo,100,98,-29.21,292.3,2.01
Grandes Rocques,40,75,49.66,278.15,3.6
Región Aisén del General Carlos Ibáñez del Campo,64,100,-47.26,269.525,1.16
Denham,0,99,-26.33,295.425,10.56
Tevaitoa,88,100,-17.6,298.6,4.91
Takla Landing,92,85,55.42,262.425,0.96
Pilar,56,86,28.72,283.55,0.71
Collarenebri,0,31,-29.49,306.975,2.31
Bonema,92,85,-1.25,299.725,1.31
Ust-Maya,12,0,61.22,233.85,1.36
Ennadai,20,0,61.36,237.825,2.01
Yuanma,56,61,25.94,285.825,2.26
Dowlatābād,0,18,31.28,283.15,4.1
Eg,0,73,49.05,257.875,0.71
Taiwan,90,88,24.03,293.15,5.7
Jaguaribara,80,95,-5.74,294.1,1.21
Quxar,0,27,28.93,266.3,2.66
Al Markaz,0,38,25.37,289.15,8.7
El Bedito,0,100,22.44,296.2,4.11
San Andres,20,78,12.81,299.15,2.1
La Esmeralda,80,95,2.93,294.225,0.91
Tennant Creek,0,6,-19.19,314.15,5.7
Riacho de Santana,0,85,-13.92,293.975,4.21
Beloyarskiy,12,69,64.36,246.775,4.06
Bulgan,0,56,44.02,263.125,2.86
Dzuunbulag,0,55,46.77,263.925,2.86
Perak,56,100,5.23,298.625,0.46
Umiujaq,88,78,56.63,261.225,1.41
Victorica,48,64,-36.19,284.075,6.06
Anastacio,56,89,-20.61,296.8,1.11
Sha‘bīyat al Marj,0,62,32.04,284.225,4.46
Kaka,56,96,37.47,279.05,3.46
Sambava,88,100,-14.11,300.725,0.91
Dargaville,24,99,-36.02,294.3,2.01
Podkamennaya Tunguska,44,74,62.11,251.325,4.91
Fort Hancock,92,63,30.92,278.225,1.31
Tinos,20,71,37.55,286.9,12.3
Longlou,76,100,19.92,296.525,6.61
Huaniao,92,100,31.36,282.85,6.11
Vysokogornyy,36,46,50.2,256.475,2.56
Kuh Sefid,24,24,28.73,288.425,2.96
Shinhigashi,0,100,25.34,293.35,3.66
Pochinok,80,89,54.55,264.8,2.51
Lakes State,0,33,6.66,304.225,5.21
Monastyr’,64,90,61.93,266.025,1.76
McMurdo Station,0,100,-76.56,270.725,9.76
Afton,1,92,42.47,260.58,0.86
Ain Arnat,75,96,36.19,279.5,1.5
Tegkwitz,75,98,50.98,273.15,6.7
Guorenduo,12,26,35.93,269.85,2.71
Nadym,36,75,65.69,245.85,3.91
Atuona,8,98,-8.99,300.725,6.96
Pocoes,75,88,-14.53,291.15,4.1
Merizo Village,48,100,12.58,299.725,9.91
Burwash Landing,1,65,61.4,235.15,1.0
Nechavom,48,70,66.58,252.375,4.11
Région de Matam,0,47,15.05,288.15,2.46
Pacasmayo,76,98,-8.05,297.05,2.66
Salluit,36,69,61.99,249.725,4.66
Deogarh,0,52,21.72,297.175,1.76
Manggar,8,100,-3.44,302.05,2.86
Biruxong,56,72,30.76,258.575,1.36
Big Horn County,1,79,44.6,270.74,3.1
Selibabi,32,25,15.11,293.375,4.66
Kez,92,87,58.11,262.7,4.76
I-n-Amenas,0,46,28.53,280.875,2.01
Westree,56,60,47.36,257.775,4.81
Muḩāfaz̧at Z̧ufār,0,40,19.48,301.825,2.46
Smara,0,65,27.04,277.225,1.16
Artyom,24,100,41.27,279.35,13.21
Les Îles-de-la-Madeleine,92,88,47.9,274.825,10.41
Tiksi,64,37,72.32,241.8,1.36
Ofanleiti,80,100,62.71,280.1,8.31
As Saffaniyah,0,86,28.13,290.05,8.26
Jaen,48,98,-5.57,289.8,0.61
Fonte Boa,56,96,-1.96,295.875,1.61
Baiqi,80,94,24.79,289.225,8.16
Coleville,75,85,51.74,261.15,3.1
Ginir,0,20,6.42,302.675,3.31
Mirnyy,64,91,61.65,265.875,1.66
Franceville,75,94,-1.66,297.15,1.5
Douglas,75,87,53.85,283.15,1.5
Bongandanga,12,78,1.56,302.05,1.16
Ranong,48,99,10.16,301.525,5.56
Natuashish,56,59,56.69,253.975,1.11
Zahedan,0,19,30.36,293.125,5.16
Tonota,0,54,-21.74,301.15,2.1
Sha‘bīyat al Jufrah,0,33,28.36,287.425,2.56
Turpan,68,95,41.82,264.85,1.96
Popovaca,20,52,44.74,278.15,3.6
Baijiantan,0,74,45.51,255.45,1.86
Tekkali,0,89,18.39,297.225,4.06
At Taj,0,34,24.69,288.6,4.01
Sakiet Sidi Youssef,75,87,36.1,280.15,3.1
Hall Beach,0,0,68.64,237.125,4.31
Bilma,20,40,18.65,289.725,2.31
Kirakira,48,100,-11.0,300.575,5.26
Lobito,24,55,-12.41,301.025,1.66
Wuxiang,80,68,33.24,274.6,1.06
Verkhnyaya Inta,64,65,66.03,253.125,3.56
Forbes,20,72,-33.39,296.05,6.16
Wichita Falls,40,67,33.93,277.48,2.1
Vanavara,64,79,60.37,262.675,3.41
Fox Creek,88,73,54.73,258.85,1.61
Orlik,64,57,52.5,256.1,0.96
Broken Hill Municipality,92,11,-32.57,306.15,4.6
Kalaswala,20,29,32.12,289.2,2.1
Northern Darfur State,0,33,15.8,292.175,3.81
Al Fāḑilī,0,52,27.31,291.15,8.2
Baochang,0,51,41.53,267.725,3.01
Bilma,20,40,18.44,289.725,2.31
Piripiri,92,97,-4.19,294.125,2.96
Daşoguz Welaýaty,92,95,40.54,275.975,2.26
Longkou,0,90,38.05,275.125,1.61
Bonaire,0,100,12.82,298.875,6.11
San Antonio Heights,1,83,34.24,285.07,0.26
I-n-Amenas,0,61,28.47,281.35,1.36
Tongpanqian,75,64,22.93,298.19,4.1
Qeqqata,56,100,66.64,266.075,5.56
Ratnagiri,0,100,16.61,299.925,5.16
Fort Good Hope,32,0,66.18,230.975,1.66
Radovitskiy,88,87,55.05,265.325,4.21
Chisasibi,92,90,53.08,261.425,7.86
Shinas,12,69,25.21,300.15,2.1
Cormorant,90,77,54.41,255.15,4.1
Thepha,75,74,7.14,303.48,5.1
Jal,90,56,32.08,279.91,4.71
Sittwe,0,85,19.72,298.35,1.96
Araripina,88,93,-7.74,293.075,1.76
Terekty,20,84,49.7,260.625,2.56
Karatuzskoye,80,85,53.79,266.3,2.46
Eagle Village,1,0,64.29,238.75,1.21
Timimoun,0,63,30.35,278.775,2.56
Zhongan,24,82,25.38,285.85,3.86
Dong Ostang,20,72,38.93,270.95,1.86
Perkins County,8,96,45.18,264.25,3.1
Eriko Village,24,100,-2.03,303.05,4.96
Kurchanskaya,75,70,45.26,280.15,6.0
Clear Creek,8,0,64.8,234.45,0.96
Kotzebue,0,79,66.37,251.1,5.56
Strezhevoy,24,67,60.56,247.175,4.76
Otter Tail County,1,76,46.29,259.9,4.6
Concórdia,100,98,-4.32,295.8,0.96
Little River,0,96,-44.44,290.3,1.11
Fort Franklin,32,0,64.81,234.525,2.26
Alsask,12,76,51.31,258.525,1.36
Matei,90,85,47.02,269.49,3.6
Marchenkov,48,96,47.04,266.125,2.41
Karpov,80,98,49.39,261.725,2.11
Higuerote,0,97,11.42,298.725,7.21
Nabire,24,92,-2.41,302.225,4.91
Isafjoerdur,12,100,67.32,271.275,18.06
Bīnshangul Gumuz Kilil,0,23,12.06,305.875,2.01
Menghutun,0,22,41.56,274.15,3.0
San Juan,0,100,-12.96,274.675,1.31
Província do Uíge,8,82,-7.64,297.925,1.06
El Rodeo,68,98,19.56,289.2,0.86
Wilaya de Ouargla,0,48,30.55,283.125,5.81
East Berbice-Corentyne Region,36,76,3.8,297.475,2.21
Vega de Alatorre,56,100,20.63,296.675,5.71
Olekminsk,68,76,60.93,257.8,2.46
Ad Darb,36,100,17.4,300.35,2.76
Bouca,0,27,6.47,304.825,1.96
Ikem,8,66,6.67,301.575,2.26
Balotra,0,22,25.59,300.3,2.46
Iriba,0,23,14.92,293.625,5.36
Yabelo,64,28,4.84,298.375,5.66
Changma,32,72,39.39,257.925,1.56
Kutum,0,41,14.97,291.7,2.86
Iraray,8,100,8.6,300.35,9.26
Khétt Bătdâmbâng,32,41,12.96,306.85,3.56
Spirovo,88,86,57.57,262.1,2.06
Nurota Shahri,0,81,40.95,284.575,1.96
Wilaya d’ El Bayadh,0,60,31.24,277.575,1.41
Terekhovo,75,92,55.78,262.64,2.0
Lermontovka,0,63,47.59,261.825,4.46
Muḩāfaz̧at Maţrūḩ,0,41,29.76,286.975,2.01
Itanhem,8,92,-17.15,293.95,2.91
Al Maudah,0,8,14.26,299.05,2.51
Niquero,0,100,19.76,298.35,3.91
Província do Moxico,76,54,-13.51,299.725,2.26
I-n-Amenas,0,51,27.37,282.95,1.86
Préfecture de la Vakaga,0,22,11.38,302.1,5.56
Otepa,76,99,-17.82,301.2,6.76
Fort Severn,24,73,55.57,249.525,10.31
Port-Menier,80,99,49.55,271.775,18.16
Igarka,24,48,67.84,238.775,3.56
Langxiang,0,68,47.05,260.425,1.36
Mahibadhoo,0,100,4.06,301.175,6.91
Priaranza del Bierzo,0,74,42.49,264.45,0.91
Megion,0,74,61.06,243.15,3.0
Coihaique Alto,0,75,-45.55,279.15,7.7
Envy,88,100,16.95,297.3,6.71
Saskylakh,0,0,71.04,229.875,2.91
Akjoujt,0,25,18.86,287.875,5.91
Belo Horizonte,76,96,-5.52,294.85,0.96
Huambo,75,88,-12.74,292.15,2.1
Arijejen,48,100,0.38,303.175,6.46
Wha Ti,8,0,64.21,235.7,4.11
Macapa,92,100,0.92,294.275,1.81
Kalaleh,76,80,36.59,278.375,5.21
Gumdag,92,99,38.37,280.125,9.91
Jinzhong,68,40,26.4,285.075,2.21
Gobolka Gedo,100,49,2.53,302.575,3.46
Auka,64,87,14.97,295.225,2.31
Baykit,48,49,60.71,259.825,3.86
Maindong,0,53,31.15,263.425,6.51
Comandatuba,40,100,-15.1,297.15,2.1
Legden,20,92,52.06,272.69,1.5
Ad Dis ash Sharqiyah,88,100,14.04,297.45,3.11
Haines Borough,0,31,59.25,241.775,0.46
Kendari,44,100,-4.12,302.875,0.76
Itacoatiara,92,100,-2.43,294.575,0.31
Guelmim,0,32,29.13,276.15,6.2
Simbahan,0,100,6.63,300.95,7.01
Momote,8,98,-2.79,302.95,4.21
Lensk,68,78,61.42,259.825,2.41
Falenki,80,89,58.07,263.3,5.16
Kerkera,64,100,38.12,285.375,10.11
San Miguel de Papasquiaro,0,89,24.66,274.675,0.66
Changli,0,73,39.4,276.05,4.66
Babana,20,100,-1.94,301.95,6.91
Loei,40,52,17.65,304.15,1.5
Boixols,20,34,42.15,273.6,4.1
Shihan as Sufla,0,84,17.85,297.725,2.06
Dasua,80,65,31.8,291.075,2.01
Filingue,0,24,14.0,293.95,4.21
Spitsbergen,88,100,77.47,268.275,14.01
Rechnaya Matuga,88,81,62.48,263.6,4.71
Qazvin,0,35,36.75,282.24,2.1
Wilāyat-e Wardak,80,94,34.24,270.325,1.11
Wrigley,0,0,63.61,231.45,1.76
Gangania,20,78,1.01,301.975,1.21
Egmond aan Zee,92,75,52.84,280.15,5.7
Palaia Fokaia,40,71,37.51,287.15,1.5
Black River,90,84,43.88,269.41,4.6
Polynésie Française,76,100,-14.62,301.125,5.26
Rivière-à-Pierre,88,85,46.93,269.15,2.1
Féroussac,90,82,45.4,273.67,5.1
Ankpa,0,59,7.26,302.425,3.46
Buyant,32,80,48.72,259.325,1.36
Salluit,44,29,61.87,243.975,1.41
Alger County,75,72,46.12,264.67,5.1
Hoverberg,76,80,62.54,268.425,1.36
Bermuda,75,88,32.53,293.15,9.3
Mould Bay,20,0,77.1,238.025,2.46
Pennautier,90,86,43.23,275.27,8.7
Archipel des Kerguelen,44,100,-47.98,278.55,13.46
Mengla,76,93,21.62,291.05,0.66
Chah Bahar,0,100,24.29,297.825,2.31
Zouar,24,46,20.89,290.125,1.86
Lahuachaca,64,100,-17.6,277.275,1.86
Meaghers Grant,90,83,44.93,274.15,8.7
Kertapati,88,82,-3.03,302.175,2.26
Xilinji,0,70,52.51,253.6,1.16
Chalchihuites,0,72,23.47,273.875,1.61
Departamento de Ayacucho,24,82,-13.87,268.975,1.56
Kerchevskiy,80,86,59.9,262.125,2.26
Vanderbilt (historical),90,91,39.36,274.95,1.36
Mekele,0,18,13.5,298.975,1.81
Barshatas,48,86,48.44,266.325,2.56
Zimbabwe,75,58,-20.55,301.15,3.1
Rhinelander,90,79,45.52,262.5,3.6
Markovo,80,66,57.36,268.075,3.41
Denbigh,90,78,48.46,261.81,7.2
Maanit,8,38,48.21,266.225,2.11
Bayangol,0,81,50.55,256.725,1.16
Aflāj,0,55,22.25,301.1,3.01
Bor,0,31,7.1,305.6,4.96
Yongfeng,92,100,27.36,278.325,3.21
Kalat,0,52,28.71,291.825,0.96
Carutapera,92,100,-0.26,297.975,6.96
Landewednack,8,100,49.44,281.225,4.81
Spitsbergen,76,88,78.26,266.625,11.11
Northwest Territories,12,0,69.59,236.925,1.36
Egegik,75,92,57.96,264.15,5.7
Niscemi,75,66,37.13,282.86,3.1
Bîr Mogreïn,0,44,24.83,279.375,1.31
Dofa,48,100,-2.38,301.575,2.11
Ghanzi District,0,42,-21.83,306.825,4.56
Jizzax,76,71,39.79,278.675,0.41
Dahod,0,43,22.8,298.7,2.41
Port-Olry,8,100,-14.63,301.1,1.36
Wapawsik,80,75,55.79,251.425,1.76
Wilaya du Tagant,0,30,19.1,283.975,1.86
Vilyuysk,56,38,63.5,241.325,1.86
Adavale,48,54,-25.59,301.7,6.56
Ambovombe,36,100,-26.07,300.125,2.51
Torrowangee,12,11,-31.45,306.15,4.6
Mutovino,76,84,60.7,265.575,3.91
Alugan,64,97,12.61,300.975,12.61
Melipeuco,0,76,-38.82,264.525,0.96
Ceclavín,0,94,39.85,271.45,1.51
Salome,36,73,33.56,276.95,1.56
Saskylakh,8,0,70.63,232.875,3.41
Jiwani,0,100,23.79,296.875,3.16
Dutch Harbor,92,100,53.77,276.375,2.56
Al Jafr,24,50,29.66,282.425,1.36
Nabire,36,100,-3.17,301.275,4.26
Fais,0,98,10.02,301.3,10.96
Roundup,1,69,46.75,277.24,3.81
Alikalia,0,59,9.17,296.45,1.86
Provincia de Manabí,92,95,-0.75,294.725,1.31
Sagaing Division,36,76,23.24,295.475,1.31
Cavelossim,0,99,14.82,301.35,5.26
Neskaupstadur,0,86,64.95,279.275,12.36
Red Sea State,0,52,19.03,296.475,5.21
Lake Minchumina,20,47,63.8,238.775,1.56
Oberthann,75,100,48.49,272.16,4.1
Bull Shoals,1,58,36.55,271.02,1.11
Souris,90,93,46.08,275.15,4.6
Uganik,0,100,57.94,267.025,2.46
Isachsen,36,35,78.5,242.625,5.46
Godda,0,59,24.98,294.45,2.31
Alilit,8,99,-8.1,302.575,5.86
Viedma,0,75,-40.68,283.775,4.01
Higginsville,0,23,-31.7,306.725,4.36
Mokrous,80,88,51.19,262.925,3.31
Junin,92,100,-11.04,284.175,0.86
Jellab,0,47,7.36,299.975,6.01
Paterno Calabro,90,100,39.23,277.09,4.1
Biola,75,96,36.85,284.46,0.76
Karakalpakstan,76,100,44.74,267.2,8.81
Camaqua,64,96,-30.95,298.225,4.91
Saint-Philippe,56,99,-21.7,301.35,6.31
Villaescusa,40,84,41.2,273.15,4.6
Grishko,64,62,59.49,255.275,1.21
Kaduna State,8,29,10.5,296.45,4.31
Polynésie Française,56,100,-14.56,300.775,3.81
Laotai,64,91,43.59,268.1,1.06
Graaff-Reinet,12,36,-31.99,298.075,1.41
Yanqi,68,100,42.04,264.275,2.56
Ferkessedougou,0,25,9.61,298.375,2.46
Elliott,24,32,-17.72,309.825,1.41
Pioner,90,78,55.32,261.15,5.0
Keti Bandar,0,97,24.26,295.625,0.91
Hirata,0,100,36.03,283.3,9.91
Heroica Caborca,56,83,30.59,281.2,0.46
Norrbottens Län,75,85,66.8,268.15,2.6
Ivankovo,88,87,60.14,264.325,5.66
Santa Teresa,0,95,11.99,301.45,12.81
Wilaya du Hodh el Gharbi,0,28,16.61,289.325,2.76
Zhitnitskaya,64,78,62.93,265.7,1.56
Republic of Colombia,44,55,4.2,300.475,3.21
Mnogovershinnyy,48,100,53.74,259.975,9.66
Um Bārid,0,37,12.61,304.275,2.06
Las Flores,20,73,13.52,298.15,2.6
Oum Hadjer,0,30,13.44,300.55,2.51
Cukai,75,94,4.22,302.18,2.51
Looscaun,75,100,52.99,282.15,1.5
Bestobe,88,88,52.84,259.075,2.31
Fiambala,0,48,-27.49,278.525,1.21
Jainpur,0,84,26.22,292.425,2.01
Resolute,12,100,74.37,242.35,5.01
Camarones,0,100,-45.3,286.55,5.71
Nanortalik,92,100,59.56,274.8,19.11
Baiquan,0,56,48.39,258.725,3.01
Lindsay,90,79,44.28,266.68,9.3
Normanton,56,51,-18.63,306.375,1.31
Bechem,0,70,7.21,301.1,4.26
Adam,0,49,21.78,302.2,3.36
Ferkessedougou,0,25,9.44,298.375,2.46
Guzow,40,85,52.13,266.65,3.6
Severo-Yeniseyskiy,48,52,59.42,259.35,3.66
Neskaupstadur,8,88,65.56,278.925,9.76
Kra Buri,76,89,10.42,302.2,5.41
Mili,32,97,6.42,302.05,8.76
McMurdo Station,20,92,-77.16,268.575,10.86
Barcaggio,20,65,43.12,277.15,1.5
Pukatawagan,88,62,55.92,253.525,2.46
Butterworth,0,57,-32.16,299.925,5.66
Kangiqsualujjuaq,80,90,59.66,262.7,5.41
Sonepur,0,68,20.71,297.825,1.96
Sao Joao da Barra,48,93,-21.65,298.675,6.26
Ahal Welaýaty,0,98,38.27,282.2,7.61
Mgandu,12,81,-7.03,298.425,2.86
